Abbreviation,Main Keywords
ijdct,"Distributed Computing Systems; Cloud Computing and Virtualization; Cloud computing models; Edge Computing, Fog Computing, and IoT Integration; Blockchain, Distributed Ledger Technology (DLT), and Web3; Blockchain-based distributed systems and decentralized trust models, Consensus mechanisms; Quantum Distributed Computing; Artificial Intelligence and Machine Learning in Distributed Systems; Advanced Distributed Network Technologies; Security, Privacy, and Trust in Distributed Systems; Performance, Scalability, and Fault Tolerance; Emerging Topics and Applications; Keywords"
jonsnea,"Nanomaterials; Synthesis, Design, and Characterization; Functional Nanostructures and Hybrid Materials; Polymer Nanotechnology and Nanocomposites; Nanoengineering; Fabrication and Manufacturing; Nanoelectronics, Spintronics, and Quantum Devices; Energy Applications of Nanotechnology; Nanomedicine and Biomedical Applications; Environmental Nanotechnology and Sustainability; Nanotoxicology and Safety of Nanomaterials; Advanced Characterization Techniques; Computational Nanotechnology and AI Applications; Emerging Fields in Nanoscience and Technology; Interdisciplinary Nano Research and Integration"
ijippr,Image Analysis; Image Understanding; Digital Image Processing; Text Compression; Still Image Compression; Video Image Compression; Feature Extraction; Linear Discriminant Analysis; Artificial Intelligence and Deep Learning in Image Processing; Big Data and Cloud-Based Image Analytics; D Image Processing and Augmented/Virtual Reality Applications; Quantum Computing in Image Processing; Cybersecurity and Image Forensics; Explainable Artificial Intelligence (XAI) and Ethical AI
,Applied Chemistry; Synthetic Organic Chemistry; Electrochemistry; Photoelectrochemistry; Medicinal Chemistry; Organometallic Chemistry; Kinetics and mechanisms of chemical reactions; Structure of inorganic and organic compounds
,Information security and risk management; Ethical hacking; Operating system security; Windows security; Object-oriented design; Security architecture; Computer forensics; Reverse engineering; Web application penetration testing; Compliance and operational security; Threats and vulnerabilities; Access control and identity management; Cryptography
,"Gene patents; Genetic Diseases; DNA Recombination; Restriction Endonucleases; Polymerase Chain Reactions; phates), RT-PCR, Reverse Transcriptase, Limitations of PCR and RT-PCR, PCR buffers, Required cofactor; Gene Cloning; Paratransgenesis; Mutation; padding"
,Smartphones; In-vehicle computing and fleet computing; Mobile ad hoc networks; Mobile computing and communications; Mobile cloud computing; Mobile device management; Mobile software; Positioning and tracking technologies
,"Aerial Photography; Cartography & Map Publishing; Geoinformatics; GeoPhysics; Image Compression and Image Processing; Remote Sensing, Spatial Science, Surveying and Mapping"
,Chemical databases; Drug discovery; Computer-assisted synthesis design; Computer-assisted molecular design; Organizing chemical facts into databases; Molecular modeling; Structure generators; Modeling 3D structures; Database mining; Graph mining; Molecule mining; Sequence mining; Digital libraries
,Evolutionary computing; Fuzzy computing; Hybrid methods; Morphic computing; Neuro computing; Particle swarm; Software development tools
ijibb,Biotherapeutics; Biochemical Engineering; Process Engineering; Biodefense; Bioreactor Engineering; Environmental microbiology; Fermentation; Pharmaceuticals; Biosynthesis
jowppr,"Water Purification Techniques; Biological, Chemical, and Physical Treatment of water; Water Infrastructure Management; Liquid Waste Management; Marine/Freshwater Ecosystems; Water Monitoring/Assessment, Adaptation Planning Technology"
,"Biochemical Engineering; Catalytic Engineering; Chemical Reaction Engineering; Computational Methods in Chemical Engineering; Environmental Chemical Engineering; Materials Process Engineering; Microfluidic Engineering and Process Intensification; Separation Processes; Surface and Interface Engineering; Fundamental chemistry, biology, physics of molecular engineering; Cell and tissue engineering; Biomolecular Physics"
ijebnp,Patient Safety; Improve Clinical Outcomes; Reduce Healthcare Costs; Decrease Variation In Patient Outcomes; Patient Values; Clinical Expertise
,Wireless threats; Signal-hiding; Wireless vulnerabilities; Securing wireless transmissions; Network auditing; Wireless public key infrastructure; Electromagnetic shielding
,"Integrated Circuits and System Design; Analog Design and Synthesis; Simulation, Verification, and Layout; Analog Integrated Circuits and Signal Processing; Amplifiers, Oscillators, and Synthesizers; Actuators, Transducers, and Integrated Sensors; CMOS IC Design and Technology; Semiconductor Devices and Applications; Sensors, Detectors, and Controllers; Artificial Intelligence and Neural Networks; Filters and their Applications; ADC and DAC Design; Equalizers, Stabilizers, and Regulators"
,Monoclonal Antibodies; Molecular Microbiology; Bacteriology; DNA Replication; Molecular Enzymology; Molecular markers; Therapeutic Agents; Transgenic species; Metagenomics; Therapeutic proteins; Structural Genomics; padding
,Chemical engineering; Electrosynthesis; Methods in Organic Synthesis; Organic synthesis; Peptide synthesis; Reaction mechanism; Combustion; Emerging reactor technologies; Mass balance
joadms,"Systems Analysis and Design; Semantic Web and Ontology; Knowledge Modeling and Processing; Sensor data Management; Temporal, Spatial, and High dimensional databases; Database Systems and applications; Data warehousing and data mining, OLAP; Distributed, Parallel, P2P, and Grid-based Database; Emerging trends in XML Technology; Digital Libraries; Agile systems development; Bio-informatics; Cognitive modeling; Conceptual modeling; Data quality; Database for advanced applications; Database security and integrity; E-business and m-commerce models and architectures; Object-oriented methods and methodologies; Software engineering; Web design methods and methodologies; Web database and Web-based information systems"
nts,Nanomaterials; Nanoelectronics; Nanomedicine & Therapeutics; Nanometer & Scale; Quantum Dots; Nanotoxicology; Nanobiosensors; Graphene; Fullerenes; Carbon Nanotubes; Nano Optics; Nanofiber; Nanowires; Nanorods; Nanocoating; Nanocomposite; Nanoplasmonics; Nanosensor; Green Nanotechnology; Nanolithography; Nano Dot; Nano Coral; Nano Solar Paint; Nano-Based Waterproof Concrete; NanoFabrication; NanoCosmetics; Nano Agri-Food; Perovskites; NanoSpace; Nano Furniture
,Electromagnetics and Energy Conversion; AC Systems and 3 Phase Circuits; Synchronous Machines; Adjustable Torque Drives; DC and AC electric motor drives; Electric Motor Drives; Motor controller algorithm; Microcontroller or digital signal processor; Fault protection and diagnostics
ijetnp,Emergency And Trauma Care; Emergency Medicine; Emergency Surgery; Emergency Nursing And Practice Care; Pediatric Emergencies; Clinical Ethics Of Emergency Care; Major Injury Management And Care; Cardiovascular Emergencies; Pandemics And Environmental Emergencies; Respiratory Emergencies
joarb,"Human-Robot Interaction and Social Robotics; Sensor Integration Robot; Vision; Robot Programming; Medical Robotics; Humanoid Robots; Autonomous Helicopters; Dynamics and kinematics of robot; Kinematics, dynamics, and simulation of robots and autonomous intelligent systems; Design of robotic mechanism; Man-machine interface and integration; Robotics-related computer hardware, software, and architectures; Active sensory processing and control; Machine learning and artificial intelligence for robotics; Medical and Assistive Robotics; Bio-mimetic and Bio-inspired Robotic Systems; Key topics include; Decentralized Robotic Control; Security Enhancements; Data Integrity and Transparency; Smart Contracts for Robotics; Case Studies and Applications"
,"Automatic Feedback Control Systems; Communications & Control Systems; Embedded Control Systems; Adaptive Control Techniques; Real-Time and Fault Tolerant Systems; Open and Closed Loop Control Systems; Large Scale Control Systems; Intelligent Sensing Control Systems; Power System Control; Digital and Analogue Control; Motion and Navigation Control; Temporal and Spectral System Analysis; Computer-Aided Design and Control Systems; Control Systems, Instrumentation, and Robotics; Control System Tools & Technology; MATLAB Modeling and Simulation; Emerging Applications in Control Systems and Engineering"
rrjosst,"Study of Celestial Bodies in our Solar System; Gravitational Science and Theories; Earth and Magnetism; Satellite Communication, Space Environment, Radiation, and Environmental Effects; Satellite Remote Sensing and its Applications; Satellite Tether Design and Space Physics; Space Robotics, Assembly, Operations, and Challenges; Material Engineering and Space Materials/ Meteorology; Weather Forecasting, Climate Study, and Information Systems; Spaceflights, Rockets, Launch Vehicles, and Propulsions; Astrophysical Cosmology and Astrobiology; Policies for Space Science"
,Shell commands & simple programming; Overview of TCP/ IP networking; Overview of the UNIX/ LINUX; Linux Administrators; UNIX programmers
,"Electronic design automation; RF/Photonics; Microelectronics; Electromagnetics; Lightwave Engineering; Biomedical Signal Processing; Communication Systems; Control Systems; Digital Signal Processing; Image Processing & Computer Vision; Instrumentation, Multimedia Security; Power Electronics and Power Systems"
,Geriatric; Gerontological Nursing; Geriatric Care Management; Physical Therapy; Geriatric Occupational Therapy; Geriatric Psychiatry; Geriatric Emergency Medicine; Geriatric Internal Medicine
joaira,Artificial Intelligence and Philosophy; Case-based Reasoning; Heuristic Searching; Intelligent Robotics; Planning and Theories of Action; Cognitive Aspects of AI; Robotics; Soft Computing Theory and Applications; Evolutionary-inspired Computing; Pervasive Computing and Ambient Intelligence; Intelligent Web; Bioinformatics; Neuroinformatics; Computing and the Mind; Cognitive Science; Non-classical Computing and Novel Computing Models; DNA computing and quantum computing; Natural Computing
,Air quality monitoring; Soil and water management; Wastewater treatment and reuse; Disposal and recycling of waste; Environmental quality parameters; Bio-monitoring; coli O157; Pollution prevention; Safety and sustainability of the environment; Pesticides
,Plant tissue culture; Plant breeding; Somatic Embryogenesis; Molecular breeding; Plant Genetics; Dicotyledonous Plants; Plant physiology; Plant Production Science; Crop Improvement; Recognition of Plant Signal Peptide
ijhml,"font-weight; Food Safety and Standards Regulations; Rights; Consumer Protection Laws in the Medical Profession; Regulation of Transplantation of Human Organs; Pharmacy, Bio-Medical Waste, Drugs and Cosmetics Acts; Prevention of Food Adulteration and Narcotic Drugs Laws; Maternity Benefit, PNDT, Medical Termination of Pregnancy Laws"
joces,"Mobile Computing; Networking Technologies; Communication Systems; Intranets; Enterprise Networks; LAN, MAN, WAN; Internet / Telecommunications"
,"elopment of environmentally improved routes, synthetic methods, and processes to an important product; Methodologies and tools for measuring environmental impact and application to real-world examples; The use of biotechnology alternatives to chemistry-based solutions; The use of sustainable resources; Characterization of natural and affected environments; Chemical aspects of renewable energy; Behavior, prevention, treatment, and control of mineral, organic and radioactive pollutants; Interfacial studies involving media such as soil, sediment, water, air, organism, and food; Green chemistry, environmentally friendly synthetic pathways, and alternative fuels; stable isotopes; Environmental processes and modeling; Environmental technologies, remediation, and control; The application of innovative technology to establish industrial procedures"
jocta,Computer Technology; Computer Engineering; Cryptology; Information Theory; Data Structures and Information Systems Applications; Software Engineering and Theory of Computation; Artificial Intelligence
jbil,font-weight; Banking Laws and Regulations; Debt Recovery and Financial Institutions; Taxation in Banking; Financial Transactions and Services; Asset Reconstruction and Securitization; Consumer Protection and Banking Ombudsman; Alternative Dispute Resolution and Legal Services
,Classical Immunology; Immunology and Infectious Diseases; Autoimmunity; Hypersensitivity; Developmental Immunology; Immunotherapy; Reproductive Immunology; Infection Control; Nursing Diagnosis and Care
,Atmospheric thermodynamics; Biological thermodynamics; Chemical thermodynamics; Equilibrium thermodynamics; Maximum entropy thermodynamics; Non-equilibrium thermodynamics; s mechanism; Gas Phase Kinetics
,"Interfacial, Electrochemical Phenomena; Fluid Mechanics, Heat and Mass Transfer; Materials, Synthesis, and Processing; Chemical Reaction Engineering; Plant Design & Process Design; Energy and Environmental Engineering; Reactors and Reaction Kinetics; Separation Processes, Thermodynamics"
,"Image digital representation; Biometrics; New algorithms and /or technologies for biometrics; Elements of visual perception; Analysis of specific applications; Fourier transforms, Extension to 2 - D, DCT, Walsh transform, Hadamard transforms; Huffman and contour coding; Restoration Models; Constrained & Unconstrained; Image coding; Processing and analysis; Geometric image processing and analysis; Document processing and recognition; statistical pattern recognition; video segmentation and tracking; Intelligent remote sensing, imagery research, and discovery techniques"
,
,Biomedical Instrumentation; Data Acquisition and Processing; Microcontroller System Design; Microprocessor System Design; Fundamental of Instrumentation; Industrial Electronics and Applications; Smart Sensors and MEMS; Mechatronics; Signal Processing Techniques for Measurement; Sensor-actuator Systems; Virtual Instrumentation; Automatic & Process Control Systems Design; Telemetry Design
jcgibl,font-weight; Corporate Governance; International Business Law; Subsidiary Mandates; Business Ethics; Corporate Social Responsibility (CSR); Business Groups
,Equipment & plant miniaturization; Alternative energy conversion & transport mechanisms; Structured environments; Intensified plant operation; Numerical Methods; Thermodynamics; Chemical Reaction Engineering; Mechanics of Granular Materials; Modeling in Chemical Engineering; Polymer Science and Engineering; Modern Instrumental Analysis; Process Controlling; Colloidal and Interfacial Science; Biochemical Engineering; Molecular Dynamics and Chemical Kinetics; System Engineering; Chemical Modeling
,"Primary Care; Gynaecologic And Family Planning Services; Preconception Care; Care During Pregnancy; Pregnancy, Foetus, Neonatal Health, Nutrition, Lipids, Protein, Human Milk, Infections; Childbirth And The Postpartum Period; Advanced Health Assessment; Health Promotion And Disease Prevention; Clinical Pharmacology; Cultural And Linguistic Competency; Issues In Nurse-Midwifery Professional Practice"
jomccmn,"Cellular networks; Channel allocation, multiple access, location management, handoffs; Wireless transmission basics; MAC protocols, routing, transport, ad-hoc; Networking GSM, HSCSD, GPRS; Satellite and broadcast systems; Mobile internet protocols; Mobile business apps using the sybase unwired platform; Security, scalability, and reliability issues; Mobile ad hoc and sensor networks; Wearable computing and networking"
,Conventional electromechanical; Neural networks; Object-oriented system; System control centers; Database and information systems; Stock and parameter estimation; Small and large system dynamics; Man-machine interfaces; Electric Power Systems Computer Analysis
,Equipment & plant miniaturization; Alternative energy conversion & transport mechanisms; Microfiltration; Ultrafiltration; Reverse Osmosis; Membrane filtration; Adsorptive exchange; Evaporative separation; Mechanical filtration; Printed Circuit Heat Exchangers; Circulating Tanks; Heating Coils Exchangers
jclj,"The Constitutional Jurisprudence-Concept, influence, and significance; The Fundamental Rights issues; stitutional significance, application, and implementation of the Directive Principles of State Policy; issues; as a Welfare State; Legislature in a neo-political trend and Constitutional mandate; cutive & judicial powers of government, Legislators, Democratic legislatures have six major functions; Constitutional Democracy versus religious politics; Judiciary under the Constitution-its independence, activism, and Reservation in Judiciary; Confrontation in Legislature, Executive, and Judiciary-Constitutional perspectives; Local Self Government-Constitutional status and its role in attaining Constitutional goals; Federalism and Constitutional Issues"
,"Computer graphics; Windowing transformations; D translation, scaling, rotation, and shear; D translation, scaling, rotation; Internet, connections, TCP/ UDP/ IP, IP addressing; ARP, RARP, DCHP, BOOTP, ICMP; Web servers, web browsers, web page makers and editors; URL, HTML; Multimedia communications; Technologies, protocols, and mechanisms; Various services and applications in multimedia communications; Optimizing and engineering multimedia network traffic; Issues of Personalization; Privacy and security in multimedia applications; Architectures used in multimedia software; Database applications and multimedia web; Implementation of multimedia sensor networks"
,Clinical Research In Medical-Surgical Nursing; Advanced Evidence-Based Care In Medical-Surgical Nursing; Nursing Care In Acute Disorders; Care And Rehabilitation In Chronic Disorders; Nursing Care Of Adult Patients; Nursing Care Of Elderly Patients; Pharmacological And Non-Pharmacological Interventions In Nursing
,Elastic instability; Gross plastic deformation; Tensile instability; Creep damage and creep-fatigue interaction; Low and high cycle fatigue damage; Brittle/elastic damage; Ductile/plastic damage; Strain softening and strain-rate sensitivity damage; Impact damage; Modeling and numerical simulation; plastic fracture mechanics; Crack incubation and propagation; Crack and fracture repair Techniques; Damage Tolerance and fracture Control
,Construction engineering; Construction materials; Earthquake engineering; Structural engineering; Construction planning; padding-bottom
jcmsl,font-weight; Capital Market Instruments and Rating; Securities Market Intermediaries; Market Infrastructure Institution; Debt Market; Money Market; Mutual Funds; Venture Capital; Collecting Investment Scheme; Resource Mobilization in the International Capital Market; Indian Depository Receipts; Securities Contract Act 1956; Issue & Listing Securities
,Structural engineering; Building structures; Mechanical structures; Structural elements; Earthquake engineering
,"Internet, Network, and Wireless Network Security& Applications; Smart grid, 5G network, Internet of Things, Application potential, Continuing medical education (MeSH; education, medical, continuing), Distance learning (MeSH; education, distance), Telemedicine Teleconsultations (MeSH; Mobile, Sensor Network, Database, and System Security; Virus, Worms, Trojan Protection, E-mail Security, Spam, Phishing, and E-mail Fraud; Security Threats & Countermeasures (DDoS, MiM, Session Hijacking, Replay attack, etc,); Cryptographic Protocols; Intrusion Detection and Prevention"
,Intensive Care; Critical Care Environmental Issues; End Of Life Care; Critical Care Networks; Patient-Centered Care; Ethical And Legal Issues In Critical Care
,"Control algorithms and techniques; Power quality and utility applications; Electric machines, modeling, simulation, analysis, design; Power circuit components; Power devices and components; Sensors, integration, and packaging; Microcontroller; DC-to-DC converter; Voltage stabilizer; Linear regulator; Transformer/autotransformer; Voltage converter; Voltage regulator; Cycloconverter"
jfal,Child Custody; Adoption; Parent Relocation; Divorce and Separation; Grandparent Rights; Alimony; Child Support
ijgge,"font-weight; Geospatial Data Analysis; Hazard Mapping and Risk Assessment; Environmental Impact Assessments; Remote Sensing Applications; Project Planning and Management; GIS in Geotechnical Engineering; Geotechnical Site Investigation; Geosynthetics and Geoenvironmental Engineering; Tunnelling and Underground Construction; Geotechnical Instrumentation and Monitoring; Geohazards and Risk Assessment; Sustainable Geotechnics; Numerical Modeling and Simulation; Mechanical, Physical, Hydraulic, and Thermal Properties of Geomaterials; Engineering Geology, Hydrogeology; Soil and Rock Engineering; Geosynthetics; Earthquake Engineering; Pile Dynamics; Slope Stability and Tunnelling; Geohazards and Mitigation; Novel Geotechnical Construction Techniques; Soil Water Management; Soil Reinforcement; Ground Improvement Technologies; Types of Slope Failure; Groundwater Seepage and Permeability; GIS and Remote Sensing"
,"Tools of open source development; Open source software projects, products, and processes; Open source software artifacts and open source communities; Economic analyses of open source; Legal aspects of open source software; Bug trackers and task lists; Version control systems; Methodology and data sources; Watermarking Techniques; Watermarking Methods"
,"Advanced Manufacturing Systems; Adaptive Control, Advanced Computing for Measurement; Artificial Intelligence and its Applications; Control and Automation, Robotics; Dynamic Simulation; Man/Machine Interface; Sensors & Signal Processing"
,Limitation of emissions of volatile organic compounds; Industrial chemical discharges; API oil-water separators; Biofilters; Dissolved air flotation; Powdered activated carbon treatment; Ultrafiltration; Activated sludge biothreats; Wastewater quality indicators; Sustainable Industrial Design; Remediation Technologies
,"Implementation of Multi programmed OS; The architecture of OS; Multiprocessor, Multimedia, and Real-time OS; Models of Thread Implementations; Interprocess/ Inter Thread Synchronization and Communication; File Organization, File System Interface, and Virtual File Systems; Graphical User Interface (GUI); Linear Block Addressing (LBA)"
,Composite material; Construction aggregates; Cement; Testing Compressive Strength of Concrete; Concrete tests
jhrlp,"font-weight; Basic Concepts of Human Rights; zations, Analysis of ethical theories, moral practices, and the application of five core human values; Human Rights Aspects of Genocide, Torture, and Capital Punishment; Human Rights Enforcement Mechanisms; Human Rights in the Indian Context; Human Rights Violations and Policy; Laws of War and War Crimes; Legal Instruments; Social Status of Women and Children; Status of Social and Economically Disadvantaged People"
,"Software evaluation Techniques; Software and complexity measures; System Analysis; Specification languages; Cloud computing; File and data structure design, Systems analysis tools; Software development, coding, verification, and integration; Object Oriented Methodology; System Development Methods; Web Database Programming; Object Oriented Development with Java"
,Electrical Motors; Electrical Vehicles; Power Distribution System; Electric Machinery; PV Module; Power Generation & Transmission
,Solar energy; Solar thermal energy; Hydroelectricity; Hydropower; Biofuel; Geothermal energy; Biomass Conversion; Wind Energy Technology; Ocean Thermal Energies; Socio-economic and Energy Management; Climate change and global warming; Nuclear power
,"Systems analysis and design; Hypermedia/hypertext engineering; Web Engineering tools & Methods; Modeling and model-based design and development; Navigation and hypermedia; Web design patterns and pattern mining; Web application evaluation, verification, and validation; Web engineering for wireless platforms; Web standards, usability, universal accessibility, Semantic Web; Specification languages, management, negotiation, and monitoring mechanisms; NET, Sun One, IBM Web Sphere, Oracle Internet Application Server; Web services, service-based approaches; Performance monitoring, evaluation metrics; Application frameworks/architectures, processes, methodologies, testing"
jiprl,font-weight; Patent Law; Trademark Law; Copyrights Law; Trade Secrets Law; Licensing Law; Patent Databases & Patent Information System; Preparation of Patent Documents; Recent Developments in Patent System; Protection of Trade Secrets; Industrial Designs; Geographical Indications
,"Catalysis, Catalyst, Reagents; Inhibitors, Poisons, and Promoters; Mechanism Action of Catalyst; Inorganic Solids and Metal Complexes; Statistical Evaluations of Catalyst; Adsorption, Process Technology with Catalysis; Computational Catalysis; Bio Catalytic Transformation"
,"Tree, Diamond Network, Mesh, Linear Array, Star, Hypercube, Chordal ring, Cube-connected-cycles; ILLIAC IV, Torus, PM2I, Butterfly, Mesh-of-tree; Pyramid, Generalized Hypercube; Twisted Cube, Folded Hypercube; Cross-connected Cube; Parallel Architectures; Shared Memory, Scalable Multi-Processors, Interconnection networks; Task and Data parallelism, Programming for performance; Multi-Core programming; Properties of Multi-Core architectures, Pthreads, OpenMP; GPU, Accelerators; Multi-core architectures; Parallel programs on multi-core machines"
,"Power Generation; Transmission & Conversion; Electrical Machinery; Control Theory & Industrial Controls; Robotics; Electrical Transportation Equipment; Insulation, Solar Energy, High-power Semiconductors; Economic & Environmental Aspects of Energy Production and Distribution"
,"Structural analysis, Thermodynamics, and Thermo-science; Organometallic chemistry and surface chemistry; Finite Element Analysis; Chromatographic Studies; Oxidation-reduction Reactions; Macrocyclic systems, Metalloporphyrin; Biochemical Engineering; Biophysical Chemistry; Natural products, Biological and Medicinal Chemistry; Physical Chemistry; Inorganic and Co-ordination Chemistry; Electrochemistry; Biochemistry"
,"High - Level programming languages; Data Representation, Data Abstraction, Procedure activation; Programming Language C; Parameter passing, Pointers, Arrays, Structures, C-Library; Program transformation techniques; unctional programming; Debugging for functional languages; Interoperability with imperative programming languages; Programming Language Implementation; Runtime Techniques for Programming Languages; Static and Dynamic Program Analysis; Software Model Checking"
,Traffic engineering; Mode of transportation; Transport Engineering
,"Origin and Development of Law of Torts; Defense against Tortious Liability; The remoteness of Damages; No Fault Liability; Vicarious Liability of State; Defamation; Consumer Protection Act; product liability, Keywords"
,Neurological and Neurosurgical Techniques; Neurological Disorders; Neuropsychiatry; Neuromuscular Medicine and Rehabilitation; Disorders of the Nervous System; Neurodevelopmental Disabilities; Interventional Neurology; Neurological Enhancements; Psychopharmacology; Psychoneuroimmunology
,Materials in Industry; Microtechnology; Crystallography Metallurgy; Biomaterials; Tribology; Ceramography; Nano Materials; Composite Materials; Modeling & Simulation; Advanced Processing of Materials; Computational Fluid Dynamics; Magnetic Materials
,Real-Time Embedded Systems; Hybrid Embedded Systems; Serial Communication Interfaces; Synchronous Serial Communication Interface; Multi-Media Cards; Timers and Time Processing Units; Analog to Digital/Digital to Analog; Digital Systems Interfacing; Embedded computing and communication systems; Artificial intelligence
,Water Treatment Process; Water resources; Sewage treatment; Waste stabilization ponds; Hydrological Engineering
jtrf,International Taxation; Clubbing of Income; Collection and Recovery of Tax; General Anti-avoidance Rules (GAAR); Income Exclusions; Tax Policy and Regulatory Framework
rrdms,"Mathematical induction; Logic and Boolean algebra; Set theory; Relations and functions; Sequences and series; Algorithms and theory of computation; Number theory; Matrix theory; Induction and recursion; Counting and discrete probability; Calculus of finite differences, discrete calculus or discrete analysis; Discrete analogs of continuous mathematics; Hybrid discrete and continuous mathematics"
,Intellectual Disability Nursing; Preoperative Nursing; Telenursing; Nursing Informatics; Forensic Nursing; Home Health Nursing; Assessment & Diagnosis; Palliative Nursing
,Construction management; Construction Material Handling; Sustainable construction engineering; Construction Engineering
jopet,"Production of Hydrocarbons; Petroleum Geology; Formation Evaluation (Well Logging), Drilling and Economics; Oil Refining; Synthetic Fuel Technologies; Oil Shale Technology; Reservoir Simulation"
,Wind Energy; Geothermal Energy; Biogas; Bio-fuels; Nuclear Binding Energy; Biomass Conversion; Greenhouse Effect; Climatology and Meteorology; Helioculture; Energy Management; Hydropower energy; Solar energy; Tidal energy
,"Analog/Digital Integrated Circuits & Systems; VLSI Architectures, Algorithms, Methods & Tools for Modeling; Simulation, Synthesis & Verification of Integrated Circuits and Systems; High-Level Synthesis for VLSI Systems; Test Generation Algorithms, Physical Design; Systems Engineering; Heterogeneous Systems"
njcl,font-weight; Criminal Proceedings in India; Criminal Justice System & Social Defence; The Basic Element of Crime; Stages in Committing a Crime; Historical Retrospect; Prostitution; Rape; Dowry Death; Domestic Violence; Sexual Harassment at the Workplace
ijonnp,Medical Oncology; Radiation Oncology; Surgical Oncology; Gynecological Oncology; Pediatric Oncology; Ocular Oncology; Chemotherapy And Radiotherapy; Palliative Care; Oncofertility; Clinical Trials Oncology
jotcsta,Elemental Coatings; Thin Films; Sol-gel coating; Coatings Technology; Lubrication technology; Tribology of composite materials; Electroless and Friction based coating; Plasma electrolytic oxidation; Friction performance and wear resistance; Thermochemical treatment
,Energy and Environmental Issues; Energy planning and Energy policy; Energy Management; Environmental Engineering; Greenhouse Gases; Emission trading; Pollution Control & Management of Natural Resource; Climate change skepticism
,font-weight; Intensive Neonatal Care; Keywords
njcsl,font-weight; Computer Science and Security; Security and Crime Science; Cryptography and Associated Topics; Security Economics; Legal Aspects of Information Security; Political and Policy Perspectives; Strategy and International Relations; Online Intermediaries in Internet Governance; vis Human Rights; Data Protection and Cyber Security; Legal Recognition of Digital Evidence; Jurisdiction Issues in Transnational Crime; s Core Principles and Domain Names Disputes; E-commerce Evolution; vis E-commerce
